Rk,Player,Year,Age,Tm,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
564,Greg LaFleur,1986,28,IND,te,9,0,,7,0.0%,56,8.0,0,11,,0.8,6.2,0,LaFlGr00
565,Aaron Moorehead,2003,23,IND,wr,7,0,10,7,70.0%,101,14.4,0,35,10.1,1.0,14.4,1,MoorAa00
566,Aaron Moorehead,2005,25,IND,wr,2,0,11,7,63.6%,75,10.7,0,24,6.8,3.5,37.5,0,MoorAa00
567,James Mungro,2004,26,IND,rb,15,0,8,7,87.5%,36,5.1,3,16,4.5,0.5,2.4,0,MungJa00
568,Jerry Richardson,1959,23,BAL,fl,11,0,,7,0.0%,81,11.6,3,15,,0.6,7.4,1,RichJe00
569,Mike Sommer,1959,25,BAL,LH,8,7,,7,0.0%,111,15.9,0,56,,0.9,13.9,1,SommMi00
570,Jordan Wilkins,2019,25,IND,rb,14,1,11,7,63.6%,43,6.1,0,11,3.9,0.5,3.1,0,WilkJo01
571,Butch Wilson,1964,23,BAL,te,11,0,,7,0.0%,86,12.3,1,20,,0.6,7.8,0,WilsBu00
572,Royce Womble,1957,26,BAL,e,10,1,,7,0.0%,69,9.9,0,37,,0.7,6.9,0,WombRo00
573,Jack Bighead,1954,24,BAL,e,11,1,,6,0.0%,89,14.8,0,25,,0.5,8.1,0,BighJa00
574,Randy Burke,1979,24,BAL,wr,16,2,,6,0.0%,151,25.2,0,59,,0.4,9.4,0,BurkRa00
575,Parris Campbell,2020,23,IND,wr,2,2,9,6,66.7%,71,11.8,0,21,7.9,3.0,35.5,0,CampPa00
576,L.G. Dupre,1959,27,BAL,lh,4,4,,6,0.0%,47,7.8,1,18,,1.5,11.8,0,DuprL.00
577,Jim Finn,2002,26,IND,fb,12,2,9,6,66.7%,31,5.2,0,12,3.4,0.5,2.6,2,FinnJi00
578,Cleveland Franklin,1981,26,BAL,rb,9,0,,6,0.0%,39,6.5,0,10,,0.7,4.3,2,FranCl00
579,Mike Hart,2010,24,IND,rb,7,1,6,6,100.0%,25,4.2,0,10,4.2,0.9,3.6,0,HartMi00
580,Dan Herron,2015,26,IND,rb,6,0,7,6,85.7%,27,4.5,0,7,3.9,1.0,4.5,0,HerrDa00
581,John Huzvar,1953,24,BAL,FB,12,8,,6,0.0%,55,9.2,1,30,,0.5,4.6,5,HuzvJo20
582,Brandon James,2010,23,IND,wr,3,0,11,6,54.5%,40,6.7,0,17,3.6,2.0,13.3,0,JameBr00
